Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
1928661,13,148358,757443,30,25248
845267,22,38421,1285415,68,18903
639880,27,23699,896734,66,13586
908411,30,30280,1523897,46,33128
854143,22,38824,744846,54,13793
1301211,44,29572,1016780,85,11962
834363,19,43913,614405,58,10593
1330683,62,21462,1184552,166,7135
1189265,45,26428,1249840,152,8222
1118734,56,19977,1678587,277,6059
832250,59,14105,1354624,252,5375
752320,31,24268,499144,53,9417
1053035,36,29250,1711420,100,17114
1096075,51,21491,955925,169,5656
776441,36,21567,660798,102,6478
398080,30,13269,463229,100,4632
485824,31,15671,937031,146,6418
502333,28,17940,1553749,53,29316
210000,29,7241,536271,180,2979
503248,35,14378,769096,129,5961
397997,34,11705,1005294,91,11047
277660,55,5048,799774,324,2468
511691,56,9137,1360555,394,3453
381620,39,9785,804185,148,5433
283707,26,10911,686229,111,6182
419291,36,11646,1032254,100,10322
407215,19,21432,460602,103,4471
388297,17,22841,381564,21,18169
196884,9,21876,321569,5,64313
148088,3,49362,597058,1,597058
125658,2,62829,59884,1,59884
