Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
3074710,13,236516,652903,30,21763
850135,22,38642,1183140,68,17399
734777,27,27213,979397,66,14839
1746134,30,58204,849456,46,18466
514503,22,23386,416645,54,7715
738470,44,16783,567588,85,6677
692855,19,36466,523219,58,9021
1237910,62,19966,1115387,166,6719
741720,45,16482,1176018,152,7736
958700,56,17119,1845985,277,6664
1067512,59,18093,1553769,252,6165
843333,31,27204,734867,53,13865
411537,36,11431,836058,100,8360
663125,51,13002,534593,169,3163
321518,36,8931,353856,102,3469
232199,30,7739,393645,100,3936
411422,31,13271,832906,146,5704
373580,28,13342,1486551,53,28048
132587,29,4571,513070,180,2850
419437,35,11983,780240,129,6048
195351,34,5745,774708,91,8513
326650,55,5939,902936,324,2786
268608,56,4796,988219,394,2508
242856,39,6227,565950,148,3823
401960,26,15460,839997,111,7567
256417,36,7122,599000,100,5990
195516,19,10290,472050,103,4583
126792,17,7458,286524,21,13644
135434,9,15048,422290,5,84458
54132,3,18044,427976,1,427976
192580,2,96290,150377,1,150377
