Bucket0
283236100
285626100
190103600
199991400
114958200
118796600
168232400
121294100
156202700
163587100
145905100
142859300
126217300
119714100
151952400
162188000
167210300
167321400
127084500
117656800
138411600
19111
23128
23128
23128
16193
16193
15994
18371
18371
18371
18371
18886
18910
18910
18910
18980
19067
19067
19067
19067
19067
