Bucket0
100584000
44146400
49819200
47325300
41549400
51534700
49990800
32516900
28553200
34132000
51584700
31868100
36064000
36151800
32987700
41420100
39245100
36766900
34036900
23603000
29993200
3724
3855
3855
3875
3875
3911
3814
3814
3814
3920
3920
3920
3920
3621
3621
3621
3621
3724
3724
3724
3724
100584000
44146400
49819200
47325300
41549400
51534700
49990800
32516900
28553200
34132000
51584700
31868100
36064000
36151800
32987700
41420100
39245100
36766900
34036900
23603000
29993200
3724
3855
3855
3875
3875
3911
3814
3814
3814
3920
3920
3920
3920
3621
3621
3621
3621
3724
3724
3724
3724
