Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
3407597,57,59782,198977,30,6632
2322346,123,18880,747765,68,10996
2258020,174,12977,729763,66,11057
3406539,195,17469,488963,46,10629
991284,141,7030,350000,54,6481
3175102,356,8918,535910,85,6304
1539810,147,10474,444677,58,7666
3388705,653,5189,693101,166,4175
1590010,447,3557,423534,152,2786
2603010,579,4495,925366,277,3340
3125709,619,5049,941546,252,3736
2214704,300,7382,350084,53,6605
3026797,348,8697,626754,122,5137
3563417,619,5756,699033,169,4136
1683208,307,5482,416353,102,4081
1815494,207,8770,504882,100,5048
1335023,254,5255,530658,146,3634
1510531,168,8991,672557,94,7154
958764,254,3774,493307,180,2740
1422242,339,4195,420320,129,3258
1380826,249,5545,536313,126,4256
2256243,509,4432,908404,324,2803
1853646,578,3207,837539,394,2125
1222986,296,4131,507034,170,2982
1643184,168,9780,769239,140,5494
1101893,187,5892,551569,133,4147
885012,109,8119,310461,103,3014
792846,44,18019,613924,37,16592
747681,17,43981,307580,17,18092
628481,3,209493,282400,3,94133
218824,2,109412,127101,2,63550
