Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
1656062,1,1656062,296004,30,9866
671938,1,671938,1167574,68,17170
729614,1,729614,988346,66,14974
1396074,1,1396074,990757,46,21538
689950,1,689950,748038,54,13852
759918,1,759918,721159,85,8484
309722,1,309722,441104,58,7605
781899,1,781899,1275999,166,7686
627777,1,627777,1285352,152,8456
836798,1,836798,2026978,277,7317
664563,1,664563,1672851,252,6638
477717,1,477717,530485,53,10009
701745,1,701745,1063593,100,10635
588212,1,588212,705156,169,4172
408107,1,408107,552340,102,5415
373564,1,373564,544330,100,5443
480748,1,480748,1069348,146,7324
701011,1,701011,1539098,53,29039
145214,1,145214,547564,180,3042
269182,1,269182,450083,129,3489
504070,1,504070,987444,91,10851
494985,1,494985,1424587,324,4396
516845,1,516845,1116824,394,2834
261264,1,261264,618635,148,4179
523161,1,523161,947405,111,8535
272260,1,272260,654656,100,6546
268062,1,268062,573336,103,5566
508850,1,508850,703438,21,33497
256620,1,256620,517029,5,103405
93688,1,93688,594874,1,594874
275970,1,275970,121347,1,121347
