Bucket0,Bucket1,Bucket2,Bucket3
2,2,2,2
3,3,3,3
3,3,5,5
3,3,7,7
4,8,8,8
4,8,10,14
4,8,12,16
5,9,13,17
4,12,16,20
4,12,18,22
4,12,20,28
5,17,21,33
6,26,22,30
8,32,21,29
8,32,23,80
9,33,24,89
10,26,25,102
11,31,26,107
13,86,26,107
12,81,29,118
12,85,31,120
14,87,30,119
11,84,35,128
13,86,35,128
15,88,35,181
14,87,38,188
15,92,39,189
17,94,39,189
20,113,38,176
24,121,36,174
29,130,33,175
