Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
4290128,1,4290128,282926,30,9430
3541664,1,3541664,954965,68,14043
1848083,1,1848083,606464,66,9188
3855348,1,3855348,499076,46,10849
1711477,1,1711477,495413,54,9174
3582313,1,3582313,587138,85,6907
1083087,1,1083087,385235,58,6641
5144465,1,5144465,300977,166,1813
3652134,1,3652134,608675,152,4004
1842856,1,1842856,849355,277,3066
3121132,1,3121132,886333,252,3517
1838255,1,1838255,288053,53,5434
2911925,1,2911925,843572,100,8435
2662058,1,2662058,563181,169,3332
2258415,1,2258415,595250,102,5835
1398721,1,1398721,505079,100,5050
1980579,1,1980579,831154,146,5692
1574229,1,1574229,945057,53,17831
1971789,1,1971789,1011781,180,5621
1049537,1,1049537,353024,129,2736
1415155,1,1415155,926111,91,10177
1977219,1,1977219,946242,324,2920
2456927,1,2456927,1959819,394,4974
2080796,1,2080796,978888,148,6614
1867835,1,1867835,856024,111,7711
625544,1,625544,389790,100,3897
898612,1,898612,546155,103,5302
758257,1,758257,524314,21,24967
366381,1,366381,323323,5,64664
770098,1,770098,531254,1,531254
261090,1,261090,116374,1,116374
