Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
2451382,1,2451382,508566,30,16952
3734396,1,3734396,1225541,68,18022
3287660,1,3287660,738012,66,11182
5426810,1,5426810,222711,46,4841
1653776,1,1653776,529427,54,9804
3205249,1,3205249,585206,85,6884
1615656,1,1615656,483000,58,8327
4873358,1,4873358,871311,166,5248
2371315,1,2371315,579667,152,3813
3651310,1,3651310,1135200,277,4098
2805416,1,2805416,838287,252,3326
1853617,1,1853617,317202,53,5984
3407702,1,3407702,939192,100,9391
2950810,1,2950810,506312,169,2995
2595697,1,2595697,582343,102,5709
390498,1,390498,132222,100,1322
1715096,1,1715096,620018,146,4246
1019280,1,1019280,628259,53,11853
2176520,1,2176520,1343983,180,7466
2016292,1,2016292,600478,129,4654
3031932,1,3031932,947915,91,10416
1090314,1,1090314,557959,324,1722
2056067,1,2056067,768820,394,1951
1305010,1,1305010,727474,148,4915
1742278,1,1742278,824753,111,7430
1412785,1,1412785,832494,100,8324
664721,1,664721,402164,103,3904
818492,1,818492,568908,21,27090
655219,1,655219,431530,5,86306
453553,1,453553,302766,1,302766
340203,1,340203,198778,1,198778
