Bucket0Bucket1Bucket2Bucket3
12218400,132,6464200,729100
0,172,1019800,460300
4035100,227,1405000,496400
0,270,1078500,230500
2015600,290,1483900,638200
0,235,1153900,332400
2670600,164,1175700,309500
2169300,263,1077000,481600
3456800,187,2738400,433400
0,195,720400,361200
0,112,805600,419800
2024500,84,798000,227000
1369300,72,925800,237100
0,23,420800,116400
0,48,541500,112100
0,36,244800,111600
0,30,355800,101600
968100,24,150300,83200
2107500,11,107000,125000
0,29,224800,110200
0,19,159100,125000
0,23,168400,81200
0,6,85200,76600
0,4,101600,91900
