Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
20647900,132,156423,8214700,239,34371
2942800,93,31643,5058700,133,38035
3459900,12,288325,4040700,31,130345
2021900,28,72210,4462800,115,38806
0,42,0,2151700,123,17493
0,48,0,13857400,185,74904
2029000,48,42270,1225100,102,12010
1014400,72,14088,6056700,279,21708
0,85,0,6194600,252,24581
3268700,140,23347,1325100,255,5196
2014400,195,10330,4606100,693,6646
2242200,250,8968,4544300,481,9447
0,272,0,3502800,645,5430
2020100,301,6711,6052600,910,6651
4848300,351,13812,6052600,761,7953
2016300,242,8331,2013400,426,4726
30973200,105,294982,8074100,443,18225
1850900,96,19280,0,354,0
2464300,59,41767,2025500,226,8962
0,19,0,0,49,0
0,28,0,746500,98,7617
0,44,0,719000,174,4132
1791300,66,27140,0,228,0
2017400,74,27262,2018800,195,10352
2369400,35,67697,1759600,102,17250
0,46,0,678500,180,3769
0,45,0,0,259,0
0,59,0,8034400,325,24721
0,64,0,3984500,339,11753
2018200,68,29679,0,190,0
0,76,0,3987100,336,11866
1858900,188,9887,8747800,731,11966
0,203,0,8690900,744,11681
0,240,0,12187400,1131,10775
3189300,223,14301,7041400,884,7965
2459200,270,9108,5136100,1209,4248
614300,281,2186,544100,900,604
2015300,238,8467,5271400,869,6066
0,257,0,8461700,925,9147
2068300,204,10138,4029700,725,5558
2029500,241,8421,4038700,774,5217
33199300,244,136062,2446000,647,3780
1724600,195,8844,0,1239,0
0,164,0,6048800,976,6197
2173600,137,15865,3671900,623,5893
0,126,0,11499300,764,15051
2662500,213,12500,5661200,854,6629
2014500,148,13611,4340900,1082,4011
2004800,93,21556,3187200,554,5753
0,115,0,943200,648,1455
3028100,110,27528,4596300,627,7330
579400,120,4828,3480600,475,7327
2096500,239,8771,3484000,887,3927
0,210,0,3326200,1026,3241
1796100,326,5509,3870000,1383,2798
2551200,271,9414,3441100,1525,2256
2016900,204,9886,5021400,799,6284
0,194,0,3123800,551,5669
3865100,182,21236,2572000,673,3821
2021400,140,14438,2019600,595,3394
1081800,129,8386,1929600,683,2825
2016100,111,18163,2020700,597,3384
3348300,150,22322,2756900,698,3949
553800,168,3296,4028900,765,5266
2016600,178,11329,4818600,607,7938
2195700,130,16890,2452500,653,3755
2533200,110,23029,2881500,460,6264
1242300,101,12300,0,383,0
2022800,81,24972,2017700,459,4395
2024400,112,18075,6050400,557,10862
2022800,71,28490,3227800,473,6824
0,95,0,5159600,720,7166
2018700,62,32559,0,488,0
2015300,96,20992,5049600,520,9710
2020300,99,20407,2403600,504,4769
1075800,94,11444,3482000,465,7488
0,87,0,7564000,475,15924
1720100,79,21773,4823000,432,11164
1559600,80,19495,4521900,351,12882
0,52,0,3987000,242,16475
1082200,110,9838,1455600,574,2535
1762700,97,18172,2810700,457,6150
0,84,0,0,337,0
0,75,0,1014400,339,2992
0,67,0,2807100,263,10673
0,59,0,0,275,0
734600,45,16324,2375100,239,9937
2016500,42,48011,1493500,164,9106
0,40,0,1821100,139,13101
1215900,52,23382,855200,200,4276
1080500,38,28434,570400,144,3961
0,50,0,8169400,323,25292
0,44,0,2546600,176,14469
2017200,59,34189,4035600,477,8460
0,44,0,2098000,250,8392
0,32,0,2019100,179,11279
0,22,0,839700,165,5089
817800,28,29207,790400,154,5132
801000,21,38142,574100,143,4014
882400,16,55150,0,74,0
0,10,0,0,57,0
1060300,14,75735,984700,39,25248
0,14,0,687800,32,21493
696800,10,69680,924000,17,54352
0,2,0,1762700,2,881350
20780300,216,96205,6050800,150,40338
