Bucket0,Bucket1
43844221787300,19111
43844501291400,23128
43844793882400,23128
43845029224400,23128
43845255682800,16193
43845404389800,16193
43845576158900,15994
43845713161600,18371
43845872452100,18371
43846026533700,18371
43846195084300,18371
43846330985800,18886
43846487674300,18910
43846610252500,18910
43846772547300,18910
43846934075200,18980
43847119605600,19067
43847303588800,19067
43847438399100,19067
43847558612000,19067
43847688696600,19067
