Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
8059700,119,67728,2016400,20,100820
2586000,275,9403,755200,25,30208
3468800,458,7573,787400,42,18747
4045100,673,6010,1434600,68,21097
2758200,888,3106,619400,68,9108
7210200,1103,6536,2174800,68,31982
4537900,1250,3630,0,42,0
3092500,1395,2216,0,39,0
1329500,1435,926,1396600,14,99757
0,1471,0,0,24,0
0,1511,0,530900,13,40838
1188400,1602,741,0,32,0
1303500,1688,772,0,37,0
0,1740,0,515900,39,13228
2020100,1832,1102,0,69,0
0,1973,0,0,100,0
0,2120,0,1044100,98,10654
1650700,2303,716,2475800,106,23356
2007000,2499,803,1349300,106,12729
0,2703,0,0,61,0
2014300,2909,692,2016000,79,25518
3133100,3161,991,0,87,0
1385300,3424,404,2011100,93,21624
2012400,3631,554,1510500,61,24762
0,3876,0,4559900,126,36189
0,4119,0,3162800,126,25101
2354200,4352,540,2223300,75,29644
2014100,4603,437,1410700,81,17416
0,4799,0,5643400,77,73290
0,4992,0,0,27,0
0,5233,0,1341400,79,16979
2174300,5456,398,955100,84,11370
544100,5646,96,1509400,53,28479
0,5831,0,513400,80,6417
3183100,6110,520,937900,128,7327
6562300,6457,1016,0,115,0
4030600,6806,592,0,82,0
3082100,7212,427,1880600,83,22657
0,7616,0,742300,82,9052
1952500,7980,244,2520900,52,48478
3653000,8334,438,1118200,45,24848
6503800,8702,747,509700,50,10194
0,9133,0,3613600,130,27796
2354600,9565,246,0,96,0
3223900,9976,323,870700,114,7637
3045500,10432,291,1033400,74,13964
0,10853,0,0,119,0
4036900,11350,355,879400,156,5637
0,11840,0,4059700,126,32219
1747700,12346,141,3029300,124,24429
0,12841,0,3884100,130,29877
4033100,13369,301,716500,175,4094
0,13951,0,1227800,149,8240
0,14586,0,434000,157,2764
2015100,15104,133,1072700,205,5232
3260800,15578,209,1026900,160,6418
4500800,16018,280,0,112,0
1335200,16507,80,739400,114,6485
4215600,16962,248,1513100,155,9761
2911200,17382,167,0,171,0
2132300,17787,119,2026800,156,12992
1658800,18225,91,0,123,0
520300,18676,27,2346200,151,15537
1579200,19191,82,0,113,0
3837100,19656,195,475700,108,4404
4073700,20087,202,822300,97,8477
2136700,20555,103,2114600,103,20530
3028800,20978,144,2014400,144,13988
0,21414,0,7689200,123,62513
939900,21916,42,16171500,90,179683
4439700,22439,197,0,175,0
1219500,22935,53,0,146,0
0,23334,0,1631500,113,14438
0,23712,0,0,99,0
4811600,24104,199,0,194,0
0,24516,0,0,185,0
6019000,24968,241,0,120,0
0,25399,0,0,200,0
0,25815,0,9074700,189,48014
0,26174,0,3660100,94,38937
0,26549,0,5552100,85,65318
1016200,26944,37,0,73,0
4006200,27302,146,941200,109,8634
0,27623,0,0,67,0
0,27857,0,636200,105,6059
2163000,28128,76,816400,91,8971
2016600,28354,71,852800,83,10274
1523500,28560,53,0,76,0
0,28699,0,2981400,69,43208
0,28846,0,3375000,41,82317
1328800,29011,45,512900,76,6748
1256200,29188,43,1340900,106,12650
0,29367,0,0,63,0
1241500,29554,42,0,60,0
2013100,29733,67,0,102,0
0,29846,0,2606100,72,36195
0,29925,0,0,42,0
0,30006,0,0,51,0
2023100,30095,67,1679000,51,32921
0,30166,0,0,43,0
775400,30223,25,0,33,0
0,30249,0,2018200,15,134546
0,30265,0,1907000,12,158916
0,30270,0,0,5,0
18375900,30486,602,0,1,0
