Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
7832700,132,59338,7307200,239,30574
6076300,225,27005,2013100,133,15136
4029500,237,17002,1196300,31,38590
3782400,265,14273,2016800,115,17537
2750700,307,8959,2999800,123,24388
2017200,355,5682,3360000,185,18162
0,403,0,0,102,0
2036400,475,4287,7069000,279,25336
0,560,0,1550600,252,6153
2017600,700,2882,1190400,255,4668
4052700,895,4528,5820500,693,8398
14097500,1145,12312,5538500,481,11514
2762400,1417,1949,4532700,645,7027
4505200,1718,2622,8139200,910,8944
8435600,2069,4077,8374700,761,11004
5298500,2311,2292,0,426,0
4010500,2416,1659,4160600,443,9391
1573900,2512,626,8471400,354,23930
0,2571,0,2743700,226,12140
1498800,2590,578,0,49,0
0,2618,0,0,98,0
0,2662,0,0,174,0
1063200,2728,389,0,228,0
1423000,2802,507,0,195,0
0,2837,0,0,102,0
1143900,2883,396,965600,180,5364
0,2928,0,567100,259,2189
0,2987,0,0,325,0
0,3051,0,2802800,339,8267
0,3119,0,0,190,0
0,3195,0,1344900,336,4002
2098400,3383,620,8066700,731,11035
6021100,3586,1679,3758500,744,5051
5165300,3826,1350,6049100,1131,5348
1769400,4049,436,5618500,884,6355
817500,4319,189,552800,1209,457
3511700,4600,763,7058300,900,7842
6406600,4838,1324,4050500,869,4661
37128700,5095,7287,6045500,925,6535
5728300,5299,1081,4955800,725,6835
28251500,5540,5099,5046400,774,6519
0,5784,0,2799100,647,4326
16196500,5979,2708,7058200,1239,5696
0,6143,0,6935300,976,7105
2597900,6280,413,4037900,623,6481
1943100,6406,303,5294300,764,6929
0,6619,0,10026100,854,11740
3022900,6767,446,1266300,1082,1170
2013300,6860,293,1012100,554,1826
1014000,6975,145,2017100,648,3112
2024900,7085,285,6714900,627,10709
1373400,7205,190,2020000,475,4252
1996100,7444,268,0,887,0
0,7654,0,5509800,1026,5370
0,7980,0,8055000,1383,5824
4655900,8251,564,7300200,1525,4787
3197000,8455,378,6903000,799,8639
5932600,8649,685,1151600,551,2090
2611800,8831,295,5337500,673,7930
0,8971,0,5250400,595,8824
1051500,9100,115,4044700,683,5921
0,9211,0,8063700,597,13507
0,9361,0,2352700,698,3370
0,9529,0,729500,765,953
931800,9707,95,3859100,607,6357
0,9837,0,4028300,653,6168
0,9947,0,5577500,460,12125
0,10048,0,4405300,383,11502
638600,10129,63,2018000,459,4396
3096000,10241,302,409000,557,734
2016100,10312,195,764900,473,1617
889200,10407,85,2010600,720,2792
1118400,10469,106,4042500,488,8283
0,10565,0,8901800,520,17118
0,10664,0,2614100,504,5186
2156100,10758,200,3348500,465,7201
0,10845,0,5309200,475,11177
2017400,10924,184,2656200,432,6148
1094600,11004,99,1043400,351,2972
0,11056,0,1797400,242,7427
0,11166,0,5732700,574,9987
2011800,11263,178,4034600,457,8828
0,11347,0,3862300,337,11460
0,11422,0,674400,339,1989
0,11489,0,2389700,263,9086
1961100,11548,169,1880300,275,6837
1385700,11593,119,2024600,239,8471
0,11635,0,693500,164,4228
0,11675,0,1261900,139,9078
0,11727,0,0,200,0
0,11765,0,2660800,144,18477
865400,11815,73,1013700,323,3138
0,11859,0,0,176,0
0,11918,0,5066900,477,10622
2859700,11962,239,2779900,250,11119
0,11994,0,524300,179,2929
0,12016,0,2022500,165,12257
0,12044,0,2514600,154,16328
0,12065,0,1264500,143,8842
1386900,12081,114,735000,74,9932
0,12091,0,984300,57,17268
0,12105,0,0,39,0
0,12119,0,0,32,0
0,12129,0,0,17,0
0,12131,0,888200,2,444100
9694000,12347,785,5253200,150,35021
