Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5,Bucket6,Bucket7,Bucket8,Bucket9,Bucket10,Bucket11,Bucket12,Bucket13,Bucket14,Bucket15,Bucket16,Bucket17,Bucket18,Bucket19,Bucket20,Bucket21,Bucket22,Bucket23,Bucket24,Bucket25,Bucket26,Bucket27,Bucket28,Bucket29,Bucket30,Bucket31,Bucket32,Bucket33,Bucket34,Bucket35,Bucket36,Bucket37,Bucket38,Bucket39,Bucket40,Bucket41
103685700,64071900,46978900,50510000,37890000,53737800,45855100,32012200,30500900,38047400,34598200,46942700,25753000,31702300,18972400,36351600,45730300,26143300,21690500,29943400,26552500,3351,3487,3487,3487,3536,3536,3572,3440,3440,3440,3440,3492,3492,3492,3492,3492,3307,3307,3307,3307,3307
19838200,45763200,29292700,33540500,37507800,36335000,27796600,28587400,38051000,29896500,24842600,26600000,23617600,30283200,21244400,32428100,26147000,25491200,27806900,23060800,25241300,3290,3470,3470,3470,3570,3570,3643,3418,3418,3418,3418,3523,3523,3523,3523,3523,3230,3230,3230,3230,3230
32339100,20336800,39805700,26485800,23870700,30714500,22215200,36775300,42305300,31817200,30928000,27899400,29751600,31577800,39604600,32142500,33802600,33116400,19638000,27371300,40166800,4107,4240,4240,4262,4330,4330,4231,4306,4306,4306,4306,5107,5107,5107,4107,4107,4107,4107,4107,4107,4107
42815600,52275700,36002700,31852700,29645000,62256100,61565600,70423500,42428500,36837700,71055600,31776500,35675400,25781700,30002200,32367100,33708600,29331400,51322800,41529700,23989900,4705,4902,4902,4993,5209,5354,5354,6650,6650,5492,5492,4578,4578,4617,4705,4705,4705,4705,4705,4705,4705
37717600,30181800,39915200,39810300,45400900,45314000,37608200,39576800,40433100,43955100,25982700,43977800,36719900,47144600,49819300,34571400,55267200,54326500,44181200,59760400,58146800,5698,5844,5844,5857,5857,5858,5858,5931,5931,6170,6170,6170,7095,7095,5817,5817,5817,5817,5817,5817,5817
44037600,54056100,72264800,65544900,45566200,37584700,51280300,39148300,37994800,36602700,51745100,31847100,31967200,26320000,28361900,29942600,29751100,26143200,24970600,43194200,31325600,4667,4823,4823,4928,4928,4803,5010,5010,5820,5820,5820,5872,5872,4667,4667,4667,4667,4667,4667,4667,4667
50176200,54303000,51820700,43892700,63197000,79522500,47627400,47375100,53749900,68830300,57585600,59730600,59866400,57758800,35783500,36465700,43253500,39114000,47972600,43537700,36297700,6728,6974,7013,7223,7223,7741,8493,8612,7303,9386,9386,9440,6728,6728,6728,6728,6728,6728,6728,6728,6728
53769700,39867300,51843000,42814100,47352800,52417800,51030000,51667600,42531200,50205700,49958000,45238000,43902700,41092500,49770300,55163100,44940700,39770200,42880700,41558700,51553500,7776,7953,7996,8206,8206,8446,9214,9215,7926,8117,8117,8117,8344,8344,9151,9151,7478,7478,7656,7656,7656
41743700,38185000,51299800,42043900,38344700,69597600,57959400,47904700,29922000,41214900,38743100,40117800,73296000,35699000,33572500,36460900,43389000,36740900,39888300,36905900,32961700,6157,6308,6361,6431,6527,6701,6411,6482,6482,6814,6814,5643,5970,5970,6093,6093,6157,6157,6157,6157,6157
47273000,49339300,68931200,53481500,58668100,52520000,50091000,54327200,68271100,62523000,48029100,46686400,58133000,49822900,41020300,53583200,53901200,51462800,50088500,47938600,43503800,8529,8821,8864,8882,9360,9381,9594,9667,11245,11245,8126,8238,8289,8465,8465,8465,8465,8529,8529,8529,8529
32042300,40221400,40026300,39704100,49230500,56705000,59833000,46191100,38211900,56060500,56461300,50010800,51422600,42717500,37333100,39551000,40076600,38319800,38104300,35654900,34119400,6623,6840,6857,7218,7252,7804,7825,8548,8639,8813,8279,8325,8389,8389,6287,6287,6509,6509,6623,6623,6623
65807700,61896900,68114900,83051700,90105200,94080700,102912000,89839100,109720100,90902300,98394900,92892500,62712700,52324900,49927300,62958600,72748600,60839700,53832800,89894300,64295900,14088,14443,14459,14736,14736,14756,14793,14837,14890,14998,14582,14652,14652,11602,11658,11712,13348,13348,13690,13690,13690
73413800,73173200,64086900,115996100,72892600,77171200,71025800,76666000,69641900,92632000,70206700,65938600,74130600,69822100,65397400,54947400,49452600,46128800,47722700,80381500,56048700,13739,14241,14257,14488,14506,14527,14564,14602,14651,14768,14396,14406,14681,14717,14717,9662,9716,9768,11301,11301,11301
37623300,42430200,45531200,42278700,44968200,57858100,59457800,37455900,50205300,52290100,47759800,50080200,39642700,44889300,50167200,49496900,57565900,38088600,41278100,48562100,40076400,6451,7097,7097,7097,7198,7198,7270,7407,7407,7578,7578,6897,6944,6944,7007,7007,7007,7128,7128,7181,7181
45949300,46224300,91844500,76883400,70584900,77296000,61208400,66385500,46220400,46485600,58517500,57108400,54281400,50061100,39795800,56903300,55424900,49520700,50494500,48051100,53020300,7558,8233,8233,8308,8335,8407,8412,8544,8699,8732,8032,8080,8144,8144,8144,8267,8267,8321,8697,8697,8697
42813000,43888100,30991000,34620900,30114100,30409500,59731400,41449200,28702500,36861100,28991000,25552000,38358100,39319400,40969800,30808100,39061300,33764300,26025000,29951900,50240300,4346,4509,4621,4624,4662,4673,4653,4257,4295,4295,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346
33808200,40065600,40422800,39793900,39690600,52491700,40546200,38898600,48026200,30133500,30077100,36613200,48182700,38562700,36339100,32441800,45607800,54444100,41499700,47419800,37209500,5818,6043,6563,6619,6670,6784,6021,6131,6245,5645,5818,5818,5818,5818,5818,5818,5818,5818,5818,5818,5818
39102700,43865900,57719000,63815000,66262600,66119900,46234600,54961200,50343100,47507800,49468800,37570300,40324700,42568000,57106800,52574800,37178700,35822700,46358600,48084500,52145800,6460,6610,6763,7216,7481,7801,6637,6801,6954,6216,6394,6460,6460,6460,6460,6460,6460,6460,6460,6460,6460
153275300,139795700,134035400,98296400,91736500,92164700,87857600,87521800,82385900,74386400,75431400,75157000,81764500,70880300,70462600,75625100,70024500,70350200,75497400,66404300,87589200,7507,7667,7687,7755,8017,7725,7086,7301,7301,7369,7507,7507,7507,7507,7507,7507,7507,7507,7507,7507,7507
77179200,68540600,85855200,76633500,71067900,76441800,59666600,82275400,81389700,66593900,82865800,79739800,61534800,78560500,64969000,82123400,94375900,68050300,68158300,71880800,58573900,8994,9181,9206,9402,9608,10451,9213,9304,9402,8748,8806,8994,8994,8994,8994,8994,8994,8994,8994,8994,8994
65137700,139932300,84838400,85046900,59868800,64806300,75685400,69845800,61777800,57933100,64286600,73485200,74254900,50890600,69110300,68979600,59092500,59820600,80074500,72162600,47957600,8286,8464,8498,8646,9089,8615,7886,8077,8077,8146,8286,8286,8286,8286,8286,8286,8286,8286,8286,8286,8286
58580100,60399500,72619900,63518400,63797800,59964800,59784100,60126200,49790500,57378500,53009000,70086200,70963600,58808400,53473400,66375900,55066600,47469100,57384400,70494900,64671600,8368,8554,8579,8762,8843,9814,9699,8368,8368,8368,8368,8368,8368,8368,8368,8368,8368,8368,8368,8368,8368
60319300,67798300,65590100,76827500,77397900,74626700,65752500,79869200,60097500,59635600,84325400,60437400,65577700,61789400,70659400,67318500,60358900,59708500,93815700,76380800,60064400,9460,9783,9796,9935,10016,9998,9425,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460
66730700,79754000,72297500,61230100,70044100,65400100,64509800,68090600,58899500,53160700,70235500,59990900,58486200,61584900,59902800,59971300,60021500,60058900,64752400,65046000,59831800,9306,9500,9565,9670,10013,10329,9467,9739,9306,9306,9306,9306,9306,9306,9306,9306,9306,9306,9306,9306,9306
69705400,74784900,69035200,67970000,70192400,65390500,72531900,73524300,59593200,54780900,60008200,54948600,60316000,69386400,57114000,63475500,54767900,57452600,52098500,66182700,53885400,8978,9403,9442,9373,9751,10209,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978
50218400,62207900,56938900,53439000,57505900,59725500,55816300,54166900,49922500,55852100,54130500,62261800,58077800,50063000,53039600,56531600,58967200,52653400,49980100,58876500,56422800,8183,8381,8428,8614,8284,8537,7805,8183,8183,8183,8183,8183,8183,8183,8183,8183,8183,8183,8183,8183,8183
63389200,71169400,55833800,64309400,74898900,90024900,62271400,62014900,55537900,49982300,72766300,63112100,54173200,49935400,57239500,52715600,50117700,59774100,53851300,46355700,55282900,8440,8647,8790,8948,8620,9179,8274,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440
75164200,60079000,60151800,94642600,71278900,70159100,56779200,53472100,58351300,52822800,57198500,83022500,56936000,58822700,50183100,57556700,62446800,56135900,52100800,64296800,61152800,9232,9412,9475,9700,9924,9412,9734,9052,9232,9232,9232,9232,9232,9232,9232,9232,9232,9232,9232,9232,9232
77998400,59993900,59930300,93641100,75987500,70018900,84100700,105552700,60481400,49936900,54393000,55838900,63281800,56837500,50782800,59053200,64840200,55373600,55250200,58534500,63025600,5561,5886,5965,6128,6506,6510,6762,5454,5479,5561,5561,5561,5561,5561,5561,5561,5561,5561,5561,5561,5561
