Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
2533190,57,44441,230049,30,7668
2445351,123,19880,1075650,68,15818
3168254,174,18208,773868,66,11725
4812935,195,24681,212594,46,4621
1514755,141,10742,502590,54,9307
3824166,356,10742,568208,85,6684
1755399,147,11941,487265,58,8401
3944967,653,6041,777250,166,4682
2434281,447,5445,578099,152,3803
3031030,579,5234,983593,277,3550
3224572,619,5209,905912,252,3594
1484820,300,4949,190991,53,3603
3842578,348,11041,995176,100,9951
3836162,619,6197,726328,169,4297
2393731,307,7797,603063,102,5912
735746,207,3554,263857,100,2638
1622291,254,6386,674979,146,4623
1638742,168,9754,793075,53,14963
1702849,254,6704,774985,180,4305
1322009,339,3899,381394,129,2956
1334089,249,5357,703873,91,7734
1704406,509,3348,752287,324,2321
2316750,578,4008,1141128,394,2896
1171857,296,3958,601909,148,4066
1172692,168,6980,780106,111,7027
1804371,187,9649,979438,100,9794
529583,109,4858,380458,103,3693
461315,44,10484,262057,21,12478
342069,17,20121,270851,5,54170
606996,3,202332,313565,1,313565
232815,2,116407,124761,1,124761
