Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
2998116,56,53537,342822,29,11821
906803,122,7432,330159,67,4927
2153746,173,12449,839099,65,12909
4128974,194,21283,804867,45,17885
1606585,140,11475,483555,53,9123
4016234,355,11313,649311,84,7729
1374616,146,9415,413238,57,7249
5419876,652,8312,383510,165,2324
3428312,446,7686,767202,151,5080
2701085,578,4673,1020579,276,3697
3242909,618,5247,1267580,251,5050
1744451,299,5834,274278,52,5274
3494328,347,10070,674091,121,5571
3711622,618,6005,726985,168,4327
2551488,306,8338,557179,101,5516
1719933,206,8349,493761,99,4987
1102121,253,4356,429054,145,2958
1150600,167,6889,529199,93,5690
1035946,253,4094,520549,179,2908
1122673,338,3321,324550,128,2535
1134362,248,4574,497396,125,3979
1921091,508,3781,798436,323,2471
1943332,577,3367,892608,393,2271
1474802,295,4999,574879,169,3401
1304323,167,7810,752597,139,5414
966592,186,5196,413313,132,3131
498393,108,4614,278290,102,2728
796349,43,18519,339560,36,9432
487738,16,30483,249985,16,15624
436714,2,218357,235430,2,117715
181694,1,181694,95022,1,95022
