Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
1521538,13,117041,970459,30,32348
1069693,22,48622,1558390,68,22917
971591,27,35984,1433123,66,21713
2237707,30,74590,1055166,46,22938
1132403,22,51472,778449,54,14415
880644,44,20014,742631,85,8736
649774,19,34198,574044,58,9897
1644582,62,26525,1340541,166,8075
1350023,45,30000,1288597,152,8477
1014594,56,18117,1992812,277,7194
948081,59,16069,1525251,252,6052
597140,31,19262,585549,53,11048
1368274,36,38007,1467555,100,14675
1132894,51,22213,887080,169,5248
220399,36,6122,266370,102,2611
320835,30,10694,499174,100,4991
110624,31,3568,248890,146,1704
89140,28,3183,356029,53,6717
151200,29,5213,438956,180,2438
210382,35,6010,356249,129,2761
661900,34,19467,1079626,91,11864
255929,55,4653,821647,324,2535
311012,56,5553,1100184,394,2792
500939,39,12844,1019720,148,6890
589013,26,22654,1139748,111,10268
295732,36,8214,745046,100,7450
223703,19,11773,414171,103,4021
409026,17,24060,477453,21,22735
217326,9,24147,547491,5,109498
50198,3,16732,542361,1,542361
95482,2,47741,92755,1,92755
